league,season,team,avg_scored_home,avg_conceded_home,home_win_pct,home_close_match_pct,avg_scored_away,avg_conceded_away,away_win_pct,away_close_match_pct,overall_avg_conceded,players_used,avg_age,goals,goals_per90,assists,assists_per90,goals_and_assists,goals_and_assists_per90,goals_excluding_pk,goals_excluding_pk_per90,penalty_kicks,penalty_attempts,yellow_cards,red_cards,goals_and_assists_excl_pk
Bundesliga,2010-2011,BAYERN MUNICH,2.82,0.76,76.47,23.53,1.94,1.59,35.29,17.65,1.18,24,26.5,77,2.26,54,1.59,131,3.85,74,2.18,3,6,43,2.0,3.76
Bundesliga,2010-2011,DORTMUND,2.06,0.47,70.59,5.88,1.88,0.82,64.71,29.41,0.65,23,23.4,63,1.85,42,1.24,105,3.09,63,1.85,0,3,41,1.0,3.09
Bundesliga,2010-2011,EINT FRANKFURT,0.76,1.41,29.41,29.41,1.06,1.47,23.53,41.18,1.44,27,26.2,31,0.91,20,0.59,51,1.5,27,0.79,4,4,75,3.0,1.38
Bundesliga,2010-2011,FREIBURG,1.41,1.41,47.06,64.71,1.0,1.53,29.41,52.94,1.47,27,25.5,38,1.12,21,0.62,59,1.74,34,1.0,4,6,48,3.0,1.62
Bundesliga,2010-2011,GLADBACH,1.53,1.82,29.41,47.06,1.29,2.0,29.41,41.18,1.91,28,25.8,47,1.38,29,0.85,76,2.24,43,1.26,4,4,56,8.0,2.12
Bundesliga,2010-2011,HAMBURGER SV,1.71,1.41,41.18,29.41,1.0,1.65,29.41,47.06,1.53,25,28.0,45,1.32,28,0.82,73,2.15,42,1.24,3,3,55,2.0,2.06
Bundesliga,2010-2011,HANNOVER 96,1.88,1.0,70.59,47.06,1.0,1.65,41.18,35.29,1.32,23,25.6,48,1.41,30,0.88,78,2.29,45,1.32,3,3,60,5.0,2.21
Bundesliga,2010-2011,HOFFENHEIM,1.65,1.24,41.18,47.06,1.29,1.71,23.53,41.18,1.47,28,23.9,48,1.41,27,0.79,75,2.21,43,1.26,5,5,63,4.0,2.06
Bundesliga,2010-2011,KAISERSLAUTERN,1.47,1.12,35.29,29.41,1.35,1.88,41.18,52.94,1.5,25,25.2,47,1.38,32,0.94,79,2.32,46,1.35,1,2,63,4.0,2.29
Bundesliga,2010-2011,KÖLN,1.76,1.24,64.71,47.06,1.0,2.41,11.76,29.41,1.82,30,26.3,47,1.38,25,0.74,72,2.12,45,1.32,2,2,79,1.0,2.06
Bundesliga,2010-2011,LEVERKUSEN,1.94,1.41,52.94,29.41,1.82,1.18,64.71,41.18,1.29,21,25.2,62,1.82,39,1.15,101,2.97,56,1.65,6,6,57,1.0,2.79
Bundesliga,2010-2011,MAINZ 05,1.29,0.94,47.06,47.06,1.76,1.35,58.82,52.94,1.15,26,26.1,49,1.44,37,1.09,86,2.53,46,1.35,3,5,54,1.0,2.44
Bundesliga,2010-2011,NÜRNBERG,1.65,1.12,52.94,41.18,1.12,1.53,23.53,23.53,1.32,28,25.2,45,1.32,28,0.82,73,2.15,43,1.26,2,4,69,3.0,2.09
Bundesliga,2010-2011,SCHALKE 04,1.41,1.06,41.18,47.06,0.82,1.53,23.53,47.06,1.29,31,25.3,37,1.09,23,0.68,60,1.76,35,1.03,2,3,57,4.0,1.71
Bundesliga,2010-2011,ST. PAULI,1.24,2.06,23.53,35.29,0.82,1.94,23.53,41.18,2.0,28,26.7,34,1.0,23,0.68,57,1.68,31,0.91,3,3,60,5.0,1.59
Bundesliga,2010-2011,STUTTGART,1.94,1.59,41.18,35.29,1.59,1.88,29.41,41.18,1.74,27,24.8,60,1.76,35,1.03,95,2.79,54,1.59,6,8,64,4.0,2.62
Bundesliga,2010-2011,WERDER BREMEN,1.53,1.35,35.29,35.29,1.24,2.24,23.53,5.88,1.79,28,26.6,43,1.26,29,0.85,72,2.12,36,1.06,7,11,71,4.0,1.91
Bundesliga,2010-2011,WOLFSBURG,1.59,1.53,29.41,41.18,0.94,1.29,23.53,41.18,1.41,28,26.4,43,1.26,28,0.82,71,2.09,43,1.26,0,4,73,2.0,2.09
Bundesliga,2011-2012,AUGSBURG,1.18,1.12,35.29,29.41,0.94,1.76,11.76,35.29,1.44,29,26.8,36,1.06,28,0.82,64,1.88,32,0.94,4,5,66,2.0,1.76
Bundesliga,2011-2012,BAYERN MUNICH,2.88,0.35,82.35,23.53,1.65,0.94,52.94,47.06,0.65,21,25.4,75,2.21,49,1.44,124,3.65,66,1.94,9,11,44,3.0,3.38
Bundesliga,2011-2012,DORTMUND,2.59,0.71,82.35,29.41,2.12,0.76,64.71,35.29,0.74,23,24.4,80,2.35,58,1.71,138,4.06,79,2.32,1,1,35,2.0,4.03
Bundesliga,2011-2012,FREIBURG,1.41,1.18,35.29,41.18,1.24,2.41,23.53,23.53,1.79,31,24.9,44,1.29,31,0.91,75,2.21,41,1.21,3,4,56,1.0,2.12
Bundesliga,2011-2012,GLADBACH,1.71,0.59,52.94,29.41,1.18,0.82,47.06,64.71,0.71,25,25.6,49,1.44,35,1.03,84,2.47,46,1.35,3,3,51,1.0,2.38
Bundesliga,2011-2012,HAMBURGER SV,1.12,1.71,17.65,23.53,0.94,1.65,29.41,41.18,1.68,26,25.2,35,1.03,15,0.44,50,1.47,32,0.94,3,3,64,2.0,1.38
Bundesliga,2011-2012,HANNOVER 96,1.82,1.0,58.82,41.18,0.59,1.65,11.76,35.29,1.32,23,26.5,38,1.12,25,0.74,63,1.85,33,0.97,5,5,66,3.0,1.71
Bundesliga,2011-2012,HERTHA BSC,1.12,1.71,23.53,58.82,1.12,2.06,17.65,23.53,1.88,25,26.0,37,1.09,25,0.74,62,1.82,36,1.06,1,2,74,8.0,1.79
Bundesliga,2011-2012,HOFFENHEIM,1.24,1.0,23.53,35.29,1.18,1.76,35.29,23.53,1.38,27,24.2,38,1.12,22,0.65,60,1.76,30,0.88,8,9,72,3.0,1.53
Bundesliga,2011-2012,KAISERSLAUTERN,0.71,1.65,11.76,29.41,0.71,1.53,11.76,35.29,1.59,32,25.4,21,0.62,15,0.44,36,1.06,20,0.59,1,1,71,4.0,1.03
Bundesliga,2011-2012,KÖLN,1.18,1.71,29.41,17.65,1.12,2.71,17.65,35.29,2.21,26,26.3,39,1.15,29,0.85,68,2.0,36,1.06,3,3,69,6.0,1.91
Bundesliga,2011-2012,LEVERKUSEN,1.65,1.41,47.06,29.41,1.41,1.18,41.18,29.41,1.29,26,24.4,51,1.5,34,1.0,85,2.5,50,1.47,1,2,48,4.0,2.47
Bundesliga,2011-2012,MAINZ 05,1.59,1.53,41.18,23.53,1.18,1.47,11.76,29.41,1.5,27,27.1,46,1.35,31,0.91,77,2.26,41,1.21,5,5,51,2.0,2.12
Bundesliga,2011-2012,NÜRNBERG,1.29,1.47,35.29,41.18,0.94,1.41,35.29,52.94,1.44,27,25.4,38,1.12,27,0.79,65,1.91,35,1.03,3,3,74,2.0,1.82
Bundesliga,2011-2012,SCHALKE 04,2.76,0.82,76.47,17.65,1.59,1.76,41.18,35.29,1.29,28,24.5,74,2.18,50,1.47,124,3.65,68,2.0,6,7,65,2.0,3.47
Bundesliga,2011-2012,STUTTGART,2.12,1.0,58.82,35.29,1.59,1.71,29.41,23.53,1.35,26,26.2,63,1.85,42,1.24,105,3.09,58,1.71,5,5,67,4.0,2.94
Bundesliga,2011-2012,WERDER BREMEN,1.82,1.35,47.06,29.41,1.06,2.06,17.65,29.41,1.71,31,25.2,49,1.44,37,1.09,86,2.53,46,1.35,3,3,67,5.0,2.44
Bundesliga,2011-2012,WOLFSBURG,1.71,1.29,58.82,70.59,1.06,2.24,17.65,5.88,1.76,36,26.5,44,1.29,36,1.06,80,2.35,42,1.24,2,2,67,4.0,2.29
Bundesliga,2012-2013,AUGSBURG,1.12,1.29,29.41,11.76,0.82,1.71,17.65,35.29,1.5,29,25.9,33,0.97,22,0.65,55,1.62,33,0.97,0,1,68,2.0,1.62
Bundesliga,2012-2013,BAYERN MUNICH,3.29,0.65,82.35,17.65,2.47,0.41,88.24,23.53,0.53,24,26.1,94,2.76,79,2.32,173,5.09,90,2.65,4,5,37,1.0,4.97
Bundesliga,2012-2013,DORTMUND,2.35,1.12,58.82,23.53,2.41,1.35,52.94,35.29,1.24,23,24.9,81,2.38,63,1.85,144,4.24,76,2.24,5,7,43,4.0,4.09
Bundesliga,2012-2013,DÜSSELDORF,1.41,1.65,29.41,29.41,0.88,1.71,11.76,47.06,1.68,28,26.6,36,1.06,21,0.62,57,1.68,33,0.97,3,4,80,3.0,1.59
Bundesliga,2012-2013,EINT FRANKFURT,1.88,1.35,52.94,47.06,1.0,1.35,29.41,17.65,1.35,27,24.9,46,1.35,36,1.06,82,2.41,43,1.26,3,3,66,3.0,2.32
Bundesliga,2012-2013,FREIBURG,1.47,1.06,47.06,23.53,1.18,1.29,35.29,47.06,1.18,27,24.4,44,1.29,30,0.88,74,2.18,40,1.18,4,4,58,3.0,2.06
Bundesliga,2012-2013,GLADBACH,1.59,1.18,47.06,52.94,1.06,1.71,23.53,23.53,1.44,22,25.3,44,1.29,29,0.85,73,2.15,40,1.18,4,4,57,1.0,2.03
Bundesliga,2012-2013,GREUTHER FÜRTH,0.59,2.12,0.0,35.29,0.94,1.41,23.53,35.29,1.76,32,24.9,24,0.71,19,0.56,43,1.26,23,0.68,1,4,83,6.0,1.24
Bundesliga,2012-2013,HAMBURGER SV,1.06,1.06,47.06,64.71,1.41,2.06,35.29,23.53,1.56,25,24.9,42,1.24,36,1.06,78,2.29,40,1.18,2,3,69,4.0,2.24
Bundesliga,2012-2013,HANNOVER 96,2.0,1.35,52.94,35.29,1.53,2.29,23.53,35.29,1.82,25,26.8,59,1.74,41,1.21,100,2.94,53,1.56,6,6,81,4.0,2.76
Bundesliga,2012-2013,HOFFENHEIM,1.24,1.76,29.41,35.29,1.24,2.18,17.65,29.41,1.97,33,24.3,41,1.21,31,0.91,72,2.12,36,1.06,5,5,78,5.0,1.97
Bundesliga,2012-2013,LEVERKUSEN,2.12,0.88,70.59,41.18,1.71,1.41,41.18,35.29,1.15,24,24.3,65,1.91,51,1.5,116,3.41,61,1.79,4,8,61,2.0,3.29
Bundesliga,2012-2013,MAINZ 05,1.29,1.12,41.18,41.18,1.18,1.47,17.65,17.65,1.29,29,28.4,42,1.24,26,0.76,68,2.0,38,1.12,4,5,73,4.0,1.88
Bundesliga,2012-2013,NÜRNBERG,1.41,1.12,41.18,35.29,0.88,1.65,23.53,47.06,1.38,25,27.0,39,1.15,27,0.79,66,1.94,36,1.06,3,4,70,2.0,1.85
Bundesliga,2012-2013,SCHALKE 04,2.06,1.29,58.82,41.18,1.35,1.65,35.29,29.41,1.47,26,25.1,56,1.65,48,1.41,104,3.06,53,1.56,3,5,58,3.0,2.97
Bundesliga,2012-2013,STUTTGART,1.18,1.65,29.41,35.29,1.0,1.59,41.18,41.18,1.62,27,25.6,34,1.0,21,0.62,55,1.62,28,0.82,6,8,77,7.0,1.44
Bundesliga,2012-2013,WERDER BREMEN,1.35,1.76,29.41,23.53,1.59,2.12,17.65,41.18,1.94,24,24.2,49,1.44,37,1.09,86,2.53,44,1.29,5,6,63,6.0,2.38
Bundesliga,2012-2013,WOLFSBURG,1.24,1.76,17.65,0.0,1.53,1.29,41.18,29.41,1.53,29,27.1,46,1.35,36,1.06,82,2.41,43,1.26,3,3,61,4.0,2.32
Bundesliga,2013-2014,AUGSBURG,1.59,1.29,52.94,47.06,1.18,1.47,35.29,41.18,1.38,27,26.7,46,1.35,33,0.97,79,2.32,44,1.29,2,2,61,0.0,2.26
Bundesliga,2013-2014,BTSV,1.06,1.41,29.41,41.18,0.65,2.12,5.88,11.76,1.76,27,26.0,28,0.82,22,0.65,50,1.47,27,0.79,1,3,66,0.0,1.44
Bundesliga,2013-2014,BAYERN MUNICH,2.82,0.88,88.24,23.53,2.71,0.47,82.35,23.53,0.68,25,26.5,93,2.74,74,2.18,167,4.91,88,2.59,5,7,45,0.0,4.76
Bundesliga,2013-2014,DORTMUND,2.41,1.12,64.71,47.06,2.29,1.12,64.71,29.41,1.12,26,25.9,80,2.35,51,1.5,131,3.85,70,2.06,10,10,45,,3.56
Bundesliga,2013-2014,EINT FRANKFURT,1.29,1.41,29.41,47.06,1.06,1.94,23.53,23.53,1.68,27,25.6,38,1.12,28,0.82,66,1.94,37,1.09,1,2,79,0.0,1.91
